ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
17,20000,,1,2,24,0,0,2,2,2,2,15376,18010,17428,18338,,19104,,0,1500,0,1650,0,1
18,320000,1,1,1,49,0,0,0,-1,-1,-1,253286,,194663,7z0074,,195599,10358,10000,75940,20000,195599,,0
19,360000,2,,1,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
20,,2,1,2,29,k1,-2,-2,,-2,-2,0,0,0,0,,0,0,0,0,0,0,0,0
21,130000,2,3,2,39,,0,0,0,0,-1,38358,27688,24489,20616,11802,930,3000,1537,1000,2000,930,33764,0
22,120000,,2,1,39,-1,-1,-1,-1,-1,-1,,316,3Z16,0,F632,316,316,316,0,,3J16,0,1
23,70000,2,2,,26,,0,0,2,2,2,,42445,45020,44006,46905,46012,2007,3582,u0,3601,0,1820,1
24,4R50000,2,1,1,,,-2,-2,,-2,-2,5512,19420,1473,560,0,0,19428,1473,560,0,0,1128,1
25,90000,1,1,2,23,0,0,0,-1,0,0,4744,7070,0,5398,,8292,5757,,5398,1200,2045,200k0,
26,,1,3,2,23,,0,0,0,0,0,47620,41810,36023,28967,29829,30046,1973,1426,1001,1432,1062,997,0
27,60000,,1,2,27,1,-2,X-1,-1,-1,-1,-109,-425,259,-57,127,-189,0,1000,,500,0,1000,1
28,50000,2,,2,30,,0,0,0,0,0,22541,16138,17163,,18931,19617,1300,,1000,1500,1000,1012,0
29,50000,,3,U1,47,-1,-1,-1,-1,-1,-1,650,3415,3416,2040,30430,,3415,3421,2044,30430,257,0,0
30,50000,1,1,2,26,0,0,0,0,w0,0,15329,16575,17496,17907,18375,114c00,1500,1500,1000,1000,1600,,0
31,230000,2,1,2,27,-1,-1,,T-1,Z-1,,16646,17265,13266,15339,14307,36923,17270,13281,,14307,37292,0,0
32,50000,1,f2,2,33,,,0,0,,0,30518,29618,22102,22734,23217,23680,1718,1500,1000,1000,1000,,1
33,,1,1,2,32,0,0,0,,0,0,93036,84071,82880,80958,78703,75589,3023,3511,3302,e3204,3200,2504,0
34,500000,2,2,1,,-2,-2,-2,-2,-2,-2,10929,,22722,7521,71439,8981,4152,22827,7521,71439,981,51582,0
35,500000,1,1,1,58,-2,-2,-2,-2,-2,-2,,,31130,3180,0,5293,5006,31178,U3180,V0,5293,768,0
36,160000,1,1,2,30,-1,-1,-2,-2,-2,#REF!,30265,-131,,-923,-1488,-1884,131,,396,565,792,0,0
37,280000,1,,1,40,0,0,0,0,0,0,186503,181328,180422,170410,17O3901,177413,8026,8060,6300,6400,6400,6737,0
38,60000,2,,2,22,,0,0,,0,-1,15054,,11068,6026,-28335,18660,1500,1518,2043,0,47671,,
39,50000,1,,2,25,1,-1,,-2,-2,-2,0,78L0,0,,0,0,780,0,0,0,0,N0,1
40,280000,1,1,2,,-1,-1,2,-1,0,-1,498,D9075,4641,,17976,9477,9075,0,9976,8000,9525,781,0
41,360000,1,1,2,33,M0,0,,0,0,Z0,,221296,206895,628699,195969,179224,10000,7000,6000,188840,28000,4000,0
42,70000,2,,2,N25,0,0,0,0,,0,67521,66999,63949,63699,64718,65970,3000,,4042,2500,2800,2500,0
43,10000,1,2,J2,22,0,0,0,0,0,0,1877,3184,,3576,3670,4451,1500,2927,t1000,300,1000,500,0
44,,2,2,,37,0,0,,0,0,0,59504,61544,62925,64280,67079,69802,3000,3000,,4000,,,0
45,,2,1,2,30,0,0,0,2,,,18927,,25921,25209,26636,29197,,5000,0,2000,30u00,,t0
46,210000,1,1,2,29,-2,#VALUE!,-2,#REF!,-2,y-2,,0,0,,0,0,0,0,0,0,0,0,1
47,20000,2,1,2,22,0,0,2,,0,0,14028,16484,15800,16k341,16675,0,3000,,16741,334,0,,1
48,150000,2,5,2,46,0,0,-1,0,0,-2,4463,3034,117a0,1170,0,,1013,1170,0,,0,0,1
49,380000,1,2,2,32,-1,,#REF!,-1,-1,-1,22401,21540,15134,32018,11849,11873,21540,15138,24677,11851,11875,8251,0
50,,1,1,2,24,0,0,0,0,0,0,17447,18479,19476,19865,20480,,1318,1315,704,928,912,1069,0
51,70000,1,3,2,42,,2,2,2,2,0,37042,,38355,f39423,38659,39362,I0,3100,2000,0,1500,1500,1
52,100000,2,3,3,43,0,0,0,0,0,0,61559,51163,43824,39619,35762,33258,,1606,1500,2000,1500,1000,0
53,310000,2,2,1,49,-2,-2,-2,-2,-2,-2,13465,7867,7600,11185,3544,464,7875,7600,11185,3544,464,0,0
54,180000,2,1,e2,25,1,2,0,0,0,,41402,41742,42758,43510,44420,45319,1300,2010,1762,1762,1790,1622,P0
55,150000,g2,1,2,2H9,2,,0,0,0,,46224,34993,31434,26518,21042,16540,1600,1718,1049,1500,2000,5000,
56,500000,2,,1,45,-2,-2,-2,-2,-2,,1905,,162,,151,2530,3640,162,0,151,2530,F0,0
57,180000,2,3,1,34,0,0,0,,-1,-1,16386,15793,8441,7142,-679,8321,8500,1500,7500,679,9000,2000,0
58,180000,2,2,1,34,0,0,0,v0,0,0,175886,,172308,168608,132202,129918,8083,D7296,5253,4g814,4816,3800,0
59,200000,2,1,2,O34,-1,S3,J2,2,2,2,1587,1098,782,1166,700,1414,0,0,700,0,1200,0,0
60,400000,2,2,1,29,0,0,0,0,0,0,400134,398857,404205,,356656,364089,17000,15029,30000,12000,12000,23000,0
61,,2,3,,28,0,0,0,0,0,0,22848,23638,18878,14937,13827,15571,1516,1300,1000,1000,2000,200f0,1
62,70000,1,2,1,39,0,0,0,u0,0,-1,70800,72060,69938,16518,14096,830,4025,2095,1000,2000,3000,0,0
63,,1,1,2,c29,,2,2,2,2,2,24987,24300,26591,25865,,28264,0,2700,0,2225,1200,0,
64,,2,,1,46,S0,0,0,-2,-2,-2,28718,29166,,,0,0,1000,0,0,0,0,,1
65,130000,2,2,1,51,-1,-1,-2,-2,-1,-1,99,0,0,0,2353,0,0,0,0,2353,,0,
66,200000,,1,1,57,-2,i-2,-2,-1,H2,2,152519,148751,144076,8Z174,8198,p7918,,0,8222,300,,1000,1
67,10000,,2,1,56,2,,2,0,0,0,2097,4193,39v78,40f62,4196,4326,,0,15M0,200,200,160,1
68,210000,2,1,,30,2,-1,-1,-1,-1,-1,300,300,1159,2280,300,4250,300,1159,2280,300,4250,909,0
69,130000,2,3,2,29,1,-2,-2,-1,,-1,-190,-9850,-9850,10311,101V61,7319,0,0,20161,0,7319,13899,0
70,20000,1,5,2,22,2,0,0,0,0,i0,18Y565,17204,17285,,11205,5982,0,1200,1000,500,1000,0,0
71,80000,1,1,2,31,-1,,-1,-1,-1,,780,0,390,390,390,,p0,390,390,,390,390,0
72,320000,1,2,2,29,2,2,2,2,2,2,58267,,60184,58622,62307,63526,2500,2500,0,4800,2400,1600,1
73,,2,2,1,32,-1,-1,-1,-1,2,-1,9076,5787,-684,5247,3848,,5818,15,9102,17,3165,1395,0
74,290000,2,,2,37,1,-2,-1,-1,-1,-1,,0,3c155,0,2359,0,0,3155,0,2359,0,0,0
75,340b000,1,M1,2,32,-1,-1,-1,-1,-1,-1,3048,5550,23337,4291,80153,25820,5713,23453,4314,80552,25949,2016,0
76,20000,1,2,2,,0,0,2,0,0,0,14619,17216,16642,16976,17332,18543,2850,0,610,630,1500,0,0
77,50000,,3,2,25,-1,0,0,M0,0,,42838,37225,36087,9636,,10030,1759,1779,Q320,500,1000,1000,0
78,300000,2,1,1,45,-1,-1,-1,-1,-1,-1,291,,291,291,291,291,291,291,291,291,291,291,0
79,,2,2,2,22,0,0,0,0,0,0,28387,29612,,28004,26446,6411,1686,1400,560,3000,1765,0,
80,240000,2,,2,44,1,m-2,,-2,-2,,0,0,0,0,0,0,,B0,,0,0,0,1
81,470000,2,3,3,33,0,0,0,0,0,0,165254,157784,162702,69923,29271,29889,6400,,3000,,1000,Q3000,0
82,360000,2,1,2,26,0,0,j0,,0,-1,23411,v27796,30400,33100,180000,196,4796,3400,3100,146900,196,2963,0
83,,,3,w2,30,,0,P0,0,0,0,26324,27471,28108,21993,19899,19771,1576,1213,648,768,1140,0,1
84,400000,2,2,1,44,0,0,2,0,0,0,131595,139060,Y126819,104430,104990,94058,10700,3,3050,3000,3200,2800,0
85,50000,2,3,,49,0,0,,0,0,0,48909,,21489,2041K4,19342,19482,1676,1302,700,699,849,826,0
86,160000,1,2,,33,0,0,0,0,0,0,130028,107808,71934,118418,118407,120418,4400,3547,80000,4500,,4500,
87,,2,1,1,45,-1,,,0,-1,-1,390,1170,780,390,390,390,1170,,0,,390,390,1
88,160000,2,2,2,32,N0,0,0,0,0,-1,3826,4751,6604,8604,7072,766,11N47,2000,2000,0,766,2303,0
89,130000,2,1,1,,0,0,0,-1,,-1,81313,117866,17740,1330,7095,1190,40000,5000,1330,7095,1190,2090,0
90,20000,1,3,2,44,2,2,D0,0,0,2,,8303,9X651,,12314,11970,0,1651,1000,2000,0,,B0
91,200000,,1,1,53,2,2,2,2,2,2,138180,140774,142460,,147124,149531,6300,5500,5500,5500,,5000,1
92,280000,2,1,2,39,-1,-1,-1,0,0,#VALUE!,7524,0,3968,3868,0,0,,3968,0,0,0,B0,0
93,100000,2,1,,27,-2,,-2,,-2,-2,-2000,5555,0,0,0,0,7555,0,0,0,0,0,0
94,160000,2,2,1,37,a-1,-1,-1,-1,,-2,880,1602,,840,0,0,1602,,840,k0,0,k7736,0
95,60000,2,2,2,23,0,0,0,0,0,0,45648,46850,47214,,19209,19323,1937,,682,690,816,835,0
96,,1,2,2,35,0,0,0,0,0,0,83725,85996,87653,35565,3094s2,30835,3621,3597,1179,1112,1104,1143,0
97,360000,1,1,1,,-1,-1,-1,,-1,0,3967,8322,3394,645c1,26370,,8339,3394,12902,27000,,,0
98,150000,,1,2,2w7,0,0,0,0,0,0,86009,86108,89l006,89775,87725,40788,4031,10006,3266,4040,,,
99,50000,2,,1,22,0,0,G0,u0,0,0,18722,18160,16997,,8866,7899,1411,1194,,281,321,197,0
100,20000,1,2,1,38,,0,0,0,0,-1,17973,19367,19559,,17928,150,1699,1460,626,1K750,150,0,B1
101,140000,1,1,2,32,-2,-2,-2,-2,-2,-2,,10212,850,415,,1430,,850,415,100,1430,,0
102,380000,2,1,F2,30,-2,-2,-1,0,0,0,-81,-303,32475,32891,33564,34056,223,33178,1171,1197,1250,5000,0
103,,1,1,1,63,0,0,0,2,2,0,422069,431342,479432,487066,471145,469961,16078,55693,17000,0,18000,24200,0
104,50000,2,3,2,22,0,,0,0,0,0,44698,42254,38347,32496,23477,,1767,1362,1002,840,995,,1
105,60000,2,2,2,26,2,2,2,2,2,0,56685,55208,59175,,55447,55305,0,5000,2511,6,3000,3000,0
106,70000,2,2,2,24,-1,-1,,,-2,-1,5580,0,0,0,c0,26529,,0,0,0,26529,2000,U0
107,80000,2,2,1,36,-1,-1,-1,-1,F-1,-1,6108,2861,,3319,1150,1150,2861,3279,,1150,,,0
108,350000,1,1,2,52,,-1,-1,,-1,-1,713,2272,722,867,1150,,2272,722,867,1150,5263,5011,0
109,130000,1,2,,38,0,,0,-1,-1,-1,,178382,399Z40,120483,44127,126568,10908,0,133657,4566,133841,4796,
110,360000,1,2,1,35,,-2,-2,,-2,-2,-103,0,-103,-103,-103,-103,0,0,,0,0,0,
111,330000,2,1,1,,0,0,2,0,0,0,105879,108431,105594,105896,106491,107289,92h60,0,3593,4100,15794,,0
112,50000,1,3,1,47,0,0,2,0,0,0,13244,14722,15181,15928,16671,17393,2000,1000,,1000,,1000,0
113,,1,2,1,A41,2,2,2,2,2,3,135673,138532,134813,,152174,,6500,0,14254,14850,0,5000,0
114,1000D00,2,O1,2,,0,0,0,0,,0,52128,,5z4477,56076,60100,59713,2000,2677,,5080,3000,,0
115,50000,1,2,2,,0,0,0,0,0,0,19015,19294,20259,20274,20311,19957,1340,1305,700,718,724,684,0
116,30000,1,1,2,24,,2,h0,0,3,2,18199,17618,18631,21319,20692,21201,0,1312,3000,0,1000,1000,1
117,240000,1,1,,,-1,-1,-1,,-1,-1,326,326,326,5676,476,326,326,326,5676,476,326,526,0
118,80000,1,h2,2,26,2,,0,0,0,0,14029,15493,16630,17055,17629,18186,2000,1700,1000,1000,1000,10Y00,
119,400000,1,2,1,34,-1,-1,-1,-1,-1,-1,19660,9666,11867,7839,14837,7959,9677,11867,7839,14837,,5712,0
120,240000,2,2,2,38,0,0,,0,-1,-1,50254,51445,53015,52479,1307,1203,2000,3000,3000,1307,1203,563,0
121,50000,1,3,2,37,2,2,2,3,,2,46004,45976,48953,48851,49318,51143,1000,4035,1000,1400,2800,0,1
122,450000,1,1,1,40,1,,-2,-2,-2,-2,0,0,0,,0,,0,0,0,0,,0,1
123,110000,Q2,1,w1,48,1,-2,-2,-2,-2,-2,0,,0,0,0,0,0,0,0,0,0,0,0
124,310000,2,2,1,35,2,0,0,0,0,0,304991,311243,306314,258610,246491,,1301q9,11128,8407,8599,6833,5987,1
125,20000,1,1,2,27,0,0,0,0,0,0,19115,18962,19298,,19717,15630,1404,1130,600,861,313,0,0
126,20000,,2,2,23,1,-2,-2,,-2,,0,,0,0,0,0,0,,0,0,0,0,0
127,200000,1,3,Q2,52,0,0,F0,0,0,0,110151,99530,98g951,100914,103146,,3568,3585,3602,,3669,3784,0
128,d180000,p1,1,1,36,0,,0,0,0,0,163736,116422,99278,95766,97753,95927,4655,2690,,2142,2217,1000,1
129,50000,1,2,1,5R1,G0,0,0,0,0,0,,3899,4503,5347,6375,7077,1000,1066,1300,,1200,134,
130,o60000,1,,1,55,t3,2,2,0,0,0,C60521,61450,57244,28853,29510,26547,2504,7,1200,1200,1100,1500,0
131,300F00,2,1,A2,23,,-2,-2,,-1,-1,4000,,3508,,13744,5906,5645,3508,27,13771,5911,3024,0
132,240000,1,1,2,41,d1,,-1,c0,0,-1,95,2622,3301,3164,360,1737,262W2,3301,0,360,1737,,0
133,420000,1,2,1,M34,0,,0,0,0,0,253454,247743,229049,220951,210606,188108,974i4,9553,,7830,7253,11326,
134,330000,I1,3,1,46,0,V0,0,0,0,0,227389,228719,229644,227587,227775,228203,8210,8095,8025,8175,8391,8200,0
135,,2,2,2,22,0,0,0,0,0,0,2S8452,26145,26712,25350,1L7603,-780,2000,1400,0,500,0,1560,0
136,240000,1,2,1,34,0,V0,0,2,2,2,10674,12035,13681,13269,,13891,1500,1800,,1000,0,327,0
137,150000,1,1,w2,27,0,0,0,0,0,0,17444,19342,22000,24614,27200,30229,2500,,3000,3000,3500,5000,0
138,210000,2,2,1,3S3,0,0,0,0,0,0,7166,7997,,9189,4404,,1500,1500,1000,500,,,
139,50000,2,3,1,51,-1,-1,-1,-1,-2,-2,752,300,5880,0,0,0,300,5880,0,0,,0,1
140,50000,1,1,2,,0,0,0,0,,0,50801,,49586,19430,19375,18995,2360,1700,,900,L870,2130,
141,240000,1,1,2,4D7,1,-2,-2,-2,-2,,0,0,0,0,0,0,,0,0,,0,0,1
142,180000,1,2,2,28,-1,-1,-1,,-1,-1,1832,0,832,332,416,416,0,416,332,500,,,0
143,50000,1,2,2,23,1,2,2,2,0,0,10131,10833,,,19879,18065,10c00,10000,400,700,800,,0
144,170000,1,2,2,29,-2,-2,-2,-2,-2,-2,12159,10000,10000,10000,9983,15846,10000,10000,,,15863,10000,0
145,20000,1,1,2,29,-1,-1,-1,-1,0,-1,1199,15586,344,2340,6702,339,15586,344,2340,4702,339,330,0
146,50000,1,a1,2,28,0,0,0,0,0,3,4999,,,9195,10624,10138,1000,,20k00,1583,1100,T0,0
147,170000,2,2,2,27,0,0,p0,0,0,0,19269,2031C3,,17560,17918,9100,,1200,351,358,182,,1
148,200000,1,1,2,34,1,2,0,0,0,0,,176192,93069,135668,132233,59875,,5000,55500,5000,,8500,0
149,,2,2,1,23,1,2,3,2,0,0,9168,10522,10205,98b98,10123,12034,1650,0,,379,2091,1,0
150,260000,2,1,1,60,1,-2,p-1,-1,-1,-1,-1100,-1100,21400,0,969,869,0,22p500,,969,1000,0,0
151,140000,1,2,A1,32,0,0,0,0,2,0,86627,78142,68336,64648,58319,,3455,3110,,0,2100,2602,0
152,80000,1,1,2,25,0,0,0,0,0,0,42444,55744,4p3476,41087,41951,31826,30000,3000,6000,8000,2000,14000,0
153,350000,1,1,2,41,1,o-1,-1,-1,-1,-2,208,2906,1000,,0,0,2906,1000,630,0,0,0,0
154,280000,2,2,1,56,0,0,0,0,0,,208775,182350,132257,101783,177145,169311,,6700,5137,100000,7000,6321,0
155,30000,2,3,2,26,0,,h0,0,0,0,9014,10406,11427,11935,13084,14206,1700,1h500,1000,1500,1500,1500,0
156,140000,1,1,1,,0,0,0,0,0,,23944,28049,32073,43129,,48699,5000,5000,11885,5000,3000,5504,0
157,,2,1,2,37,0,,0,0,0,0,105420,102870,89643,90938,,94031,,,3250,,,5000,0
158,,2,3,2,30,0,0,0,,0,,196031,196143,189524,167163,146975,122324,7300,7108,7680,,5000,4500,0
159,210000,1,3,,45,2,3,4,4,5,6,115785,122904,129847,13727U7,145533,154105,10478,,11078,11078,11678,10478,1
160,50000,1,3,1,57,3,2,0,0,Z0,0,12854,,13447,13427,13711,14083,0,,500,500,600,600,0
161,30000,,1,2,41,2,2,2,2,2,0,24357,,267B18,28168,27579,28321,3500,0,2200,0,1200,1250,0
162,50000,1,2,,27,2,-1,,-1,-1,2,390,,780,216,1080,540,390,780,216,864,0,390,
163,290000,1,3,1,47,-1,-1,-1,-1,0,-1,1234,396,396,792,396,423,396,396,7Z92,0,423,369,0
164,,2,1,1,34,0,0,2,0,0,0,141223,156858,151841,152803,155997,160220,17994,0,5469,5656,6811,3920,n0
165,60000,2,2,1,46,0,0,0,0,0,0,2q1148,23803,24908,26034,26655,27756,3000,1500,1500,1000,1500,1500,0
166,110000,2,1,2,27,0,0,0,0,0,g0,101640,104795,104855,74737,76058,77254,5500,3900,3000,2900,3000,2800,0
167,37000L0,1,1,2,50,-2,#VALUE!,-2,,,,6093,15130,8204,15398,4792,13453,15383,8204,15413,4792,13453,4699,0
168,100000,,2,1,27,-1,,2,0,0,0,102349,96847,,29336,22979,-246,,0,,1398,12,,0
169,90000,2,2,1,35,0,0,0,0,0,2,72112,73854,75526,77317,85852,88290,3500,3500,,10000,4000,0,0
170,50000,2,2,2,22,0,0,0,0,0,,28040,29092,29366,27737,28318,28806,1510,1442,982,1017,1277,567,0
171,270000,1,2,2,37,0,0,,0,0,0,37695,33397,30534,27598,26344,24641,5000,2000,,4000,,2000,0
172,,k2,1,2,30,#REF!,-1,,-1,-1,-1,688,3280,0,4340,2672,800,3288,0,,2672,800,746,0
173,50000,2,2,z2,22,-1,,0,0,0,0,8567,15273,11650,7457,3115,7725,15000,1000,149,0,5000,10000,0
174,50000,2,,2,24,1,-2,-2,-2,-2,-2,-709,-709,-709,,-3272,,0,0,0,0,0,0,
175,360000,1,1,2,29,1,-2,-1,-1,-2,-2,0,0,N77,0,0,,0,,0,0,0,0,0
176,130000,1,3,1,56,1,2,,2,2,3,64617,65978,67282,68557,72796,71345,3000,3000,300Q0,5500,0,0,
177,80000,1,1,,K30,-2,-1,0,0,0,0,6187,100,600,1438,1919,5380,504,,1000,500,3500,0,0
178,500K00,1,2,2,30,1,,0,0,h0,2,48860,47801,48363,30221,22877,22361,0,1500,1000,2000,0,2000,L0
179,20000,2,2,2,22,0,0,0,0,0,0,16001,12622,13221,13130,14034,14906,1212,1201,500,1500,1500,1000,0
180,8a0000,2,2,1,,0,0,2,0,0,0,77883,81811,8M0250,61467,10662,11486,5800,1000,600,400,1000,0,0
181,240000,1,,2,3I7,-1,-1,2,0,0,-1,12212,26578,25331,26605,26279,1256,15000,0,2000,0,1256,65935,
182,,2,,2,35,0,-1,0,0,0,0,49608,12412,14873,,17770,17460,12500,6500,,2000,3000,2000,0
183,500000,2,1,,47,0,0,0,0,,0,56422,,110340,122967,,70064,70010,30357,30000,20000,52183,20000,0
184,60000,2,2,1,24,0,0,0,0,0,0,58024,57891,48839,18971,,,2500,1600,3000,1w000,737,2000,1
185,20000,1,2,2,25,,0,0,0,0,-1,10642,,13070,12280,1615,1620,1200,,601,,1824,0,0
186,1X00000,2,2,1,38,1,2,0,0,2,,14483,13961,15323,16268,15868,16448,0,,150c0,0,,1500,1
187,360000,,1,2,32,1,-1,-1,-1,-1,-1,2616,57077,5287,68445,13881,16240,57087,,68454,13889,16250,38313,0
188,200000,2,3,2,47,2,2,2,2,2,2,199436,202947,193936,196186,200162,189915,8214,7000,6800,7134,,6836,1
189,130000,2,,1,34,1,-1,0,L0,0,0,0,5K396,10270,13576,13864,14636,5396,,3500,501,,2000,0
190,20000,2,2,2,31,1,5,4,4,3,2,217a03,21087,,20835,20219,20487,0,1000,0,0,760,0,0
191,310000,1,1,2,,0,,0,g0,0,,59901,62147,62102,65875,60387,43328,10020,6031,10057,5028,,422Y3,0
192,60000,2,1,2,E27,2,0,0,0,2,,,20347,21669,23005,22499,22873,1342,1664,,,900,846,1
193,180000,s2,1,2,29,,-1,,-2,-1,0,11386,199,0,,17227,17042,199,0,,17227,341,5114,0
194,180000,2,1,a2,24,-1,-1,,0,0,n-2,14670,22087,21282,10200,0,0,37867,0,200,0,,x0,b0
195,50000,1,2,1,36,0,x0,0,0,-1,-1,47790,18114,18250,-14,72,658,2000,,2000,500,1000,20011,N0
196,50000,2,1,,,1,2,2,2,,,36166,37188,37680,38462,39228,40035,1900,1400,1700,1532,1600,T0,1
197,1500x00,2,2,1,,-2,-2,-2,-2,-2,-2,0,0,0,116,0,,0,0,116,0,,0,0
198,20000,2,v1,2,,0,0,0,0,-1,,18553,19446,19065,8332,18868,19247,1500,1032,541,,693,1000,0
199,500000,2,1,1,34,-2,,-2,-1,-1,-1,412,138,2299,1251,1206,1151,138,2299,1251,120D6,,15816,0
200,30000,,3,2,22,1,2,2,0,0,0,29010,29256,28122,29836,1630,0,1000,85,1M714,104,0,,1
201,,2,1,1,38,,-2,#VALUE!,-2,-2,,750,,0,0,0,L0,0,0,0,0,0,0,0
202,140000,1,1,2,31,0,0,2,,0,2,27123,27299,17985,20225,27407,10833,q25000,0,3000,7800,0,2500,0
203,140000,2,1,2,,-1,0,,-1,,-1,13424,18000,13001,5818,13506,,10000,13001,5841,13506,487,7004,0
204,120000,,2,2,26,0,0,V0,0,0,0,107314,110578,113736,116000,119131,122q135,5000,5000,4152,5000,5000,5000,0
205,360000,O2,2,1,,0,0,0,0,0,0,226430,231878,234192,190211,173557,146511,9100,7300,5800,5600,5600,4100,0
206,20000,1,3,1,43,-1,-1,0,0,0,0,227,20351,20237,19q339,1T9450,19337,22359,1305,1258,1459,3457,1700,0
207,100000,1,1,1,47,-1,-1,-1,-1,#REF!,-1,390,1473,390,390,390,0,1473,390,390,390,,,0
208,210000,2,2,1,41,-1,-1,-1,-1,-1,-1,3088,1586,343,3763,,0,1586,343,3763,877,0,419,1
209,80000,,2,2,24,F0,0,0,i0,0,0,81625,81554,79599,49552,49509,,3200,3000,2038,2000,1800,1800,1
210,330000,2,,1,50,-1,#REF!,-1,#REF!,-2,-2,8A872,4337,2854,1690,0,1709,4345,2854,1702,0,,258,
211,220000,1,1,2,,0,0,0,-1,-1,-1,1056Z07,108917,111520,8303,0,85632,5000,5050,8303,0,85632,,0
212,210000,2,1,1,38,1,-2,-1,0,-1,#REF!,0,0,250,G123,789,1222,0,250,0,789,1222,9616,1
213,40000,2,3,i1,,0,0,,0,0,0,38257,38901,38103,36207,33138,31339,1700,,1200,1500,1500,1000,0
214,30000,1,2,2,39,0,0,0,2,0,h0,283l47,28108,,12992,7736,8032,3036,2309,0,1000,2000,148,0
215,470000,1,2,2,27,2,2,2,2,0,0,296573,303320,307843,479978,305145,309959,13000,11001,0,10484,,10367,0
216,30000,1,3,1,,-1,-1,-1,-1,,2,390,390,390,240,1320,78b0,390,390,240,1470,0,0,0
217,240000,2,2,1,36,1,-2,,-2,-2,-2,-946,-946,-946,-946,,-946,0,0,0,0,0,0,1
218,800G00,1,2,2,36,2,0,0,0,0,0,79278,78501,78534,80016,76235,78245,,3500,,3000,3500,3000,0
219,,2,3,,31,0,0,0,0,0,q0,89989,84229,,73315,63818,63208,4000,5000,3000,3000,3000,8954,0
220,310000,2,1,2,38,O-1,-1,-1,-1,-2,-2,1424,4542,126,0,0,0,4542,126,P0,,0,0,0
221,360000,2,1,1,40,l2,2,,0,0,0,105167,115468,112157,114690,117845,120238,,0,5900,5000,,4700,1
222,330000,2,3,2,,0,0,0,0,0,0,335196,334954,335527,333860,,,12388,,12116,12450,12213,11678,0
223,300000,2,2,Z2,35,0,0,0,0,0,,291619,297268,,215827,208464,212508,12019,9006,17000,12000,9557,15000,0
224,320000,2,2,2,33,0,0,0,0,0,0,91653,94037,,,43805,33263,10042,18832,2117,,5045,3u754,0
225,50000,2,3,2,37,1,3,2,,,0,y52626,51537,49205,,30249,29957,0,24,1500,1000,1201,30592,1
226,170000,2,1,2,28,,0,0,0,0,0,130370,131199,128900,125514,127280,128839,6530,4860,,4820,,,0
227,350000,1,3,1,44,-1,-1,-1,-1,-1,-2,3265,2686,1864,569,0,,,1864,,0,0,0,0
228,20000,1,2,1,37,0,,0,0,0,0,16455,,18902,18768,18650,,1609,3000,663,,834,782,0
